time,temperature_2m,temperature_celsius
2025-07-22T00:00,18.4,18.4
2025-07-22T01:00,18.2,18.2
2025-07-22T02:00,18.1,18.1
2025-07-22T03:00,18.0,18.0
2025-07-22T04:00,18.0,18.0
2025-07-22T05:00,18.0,18.0
2025-07-22T06:00,18.2,18.2
2025-07-22T07:00,19.2,19.2
2025-07-22T08:00,21.0,21.0
2025-07-22T09:00,23.0,23.0
2025-07-22T10:00,25.0,25.0
2025-07-22T11:00,26.3,26.3
2025-07-22T12:00,26.8,26.8
2025-07-22T13:00,27.2,27.2
2025-07-22T14:00,27.1,27.1
2025-07-22T15:00,26.7,26.7
2025-07-22T16:00,26.0,26.0
2025-07-22T17:00,24.9,24.9
2025-07-22T18:00,23.3,23.3
2025-07-22T19:00,22.2,22.2
2025-07-22T20:00,20.9,20.9
2025-07-22T21:00,19.9,19.9
2025-07-22T22:00,19.6,19.6
2025-07-22T23:00,19.2,19.2
2025-07-23T00:00,19.1,19.1
2025-07-23T01:00,18.8,18.8
2025-07-23T02:00,18.5,18.5
2025-07-23T03:00,18.3,18.3
2025-07-23T04:00,18.0,18.0
2025-07-23T05:00,17.8,17.8
2025-07-23T06:00,17.8,17.8
2025-07-23T07:00,18.6,18.6
2025-07-23T08:00,19.3,19.3
2025-07-23T09:00,20.2,20.2
2025-07-23T10:00,20.8,20.8
2025-07-23T11:00,21.8,21.8
2025-07-23T12:00,22.8,22.8
2025-07-23T13:00,23.5,23.5
2025-07-23T14:00,23.3,23.3
2025-07-23T15:00,22.9,22.9
2025-07-23T16:00,22.9,22.9
2025-07-23T17:00,22.6,22.6
2025-07-23T18:00,21.7,21.7
2025-07-23T19:00,20.6,20.6
2025-07-23T20:00,19.5,19.5
2025-07-23T21:00,18.9,18.9
2025-07-23T22:00,18.6,18.6
2025-07-23T23:00,18.6,18.6
2025-07-24T00:00,18.5,18.5
2025-07-24T01:00,18.5,18.5
2025-07-24T02:00,18.3,18.3
2025-07-24T03:00,18.0,18.0
2025-07-24T04:00,17.9,17.9
2025-07-24T05:00,17.7,17.7
2025-07-24T06:00,17.7,17.7
2025-07-24T07:00,18.5,18.5
2025-07-24T08:00,19.7,19.7
2025-07-24T09:00,21.9,21.9
2025-07-24T10:00,24.5,24.5
2025-07-24T11:00,26.5,26.5
2025-07-24T12:00,28.3,28.3
2025-07-24T13:00,29.5,29.5
2025-07-24T14:00,29.9,29.9
2025-07-24T15:00,29.1,29.1
2025-07-24T16:00,28.4,28.4
2025-07-24T17:00,27.2,27.2
2025-07-24T18:00,25.8,25.8
2025-07-24T19:00,24.5,24.5
2025-07-24T20:00,23.0,23.0
2025-07-24T21:00,22.9,22.9
2025-07-24T22:00,23.6,23.6
2025-07-24T23:00,23.8,23.8
2025-07-25T00:00,23.6,23.6
2025-07-25T01:00,23.3,23.3
2025-07-25T02:00,23.7,23.7
2025-07-25T03:00,23.8,23.8
2025-07-25T04:00,24.0,24.0
2025-07-25T05:00,24.0,24.0
2025-07-25T06:00,23.6,23.6
2025-07-25T07:00,24.0,24.0
2025-07-25T08:00,24.6,24.6
2025-07-25T09:00,25.6,25.6
2025-07-25T10:00,27.2,27.2
2025-07-25T11:00,29.3,29.3
2025-07-25T12:00,31.0,31.0
2025-07-25T13:00,32.4,32.4
2025-07-25T14:00,33.5,33.5
2025-07-25T15:00,33.7,33.7
2025-07-25T16:00,32.7,32.7
2025-07-25T17:00,30.9,30.9
2025-07-25T18:00,29.2,29.2
2025-07-25T19:00,27.6,27.6
2025-07-25T20:00,26.1,26.1
2025-07-25T21:00,24.9,24.9
2025-07-25T22:00,24.5,24.5
2025-07-25T23:00,24.5,24.5
2025-07-26T00:00,24.3,24.3
2025-07-26T01:00,23.7,23.7
2025-07-26T02:00,23.0,23.0
2025-07-26T03:00,22.5,22.5
2025-07-26T04:00,22.4,22.4
2025-07-26T05:00,22.6,22.6
2025-07-26T06:00,23.1,23.1
2025-07-26T07:00,24.0,24.0
2025-07-26T08:00,25.2,25.2
2025-07-26T09:00,26.6,26.6
2025-07-26T10:00,28.3,28.3
2025-07-26T11:00,30.2,30.2
2025-07-26T12:00,31.6,31.6
2025-07-26T13:00,32.5,32.5
2025-07-26T14:00,32.9,32.9
2025-07-26T15:00,33.0,33.0
2025-07-26T16:00,32.8,32.8
2025-07-26T17:00,32.2,32.2
2025-07-26T18:00,31.4,31.4
2025-07-26T19:00,30.1,30.1
2025-07-26T20:00,28.5,28.5
2025-07-26T21:00,27.2,27.2
2025-07-26T22:00,26.2,26.2
2025-07-26T23:00,25.5,25.5
2025-07-27T00:00,25.0,25.0
2025-07-27T01:00,21.5,21.5
2025-07-27T02:00,21.0,21.0
2025-07-27T03:00,20.6,20.6
2025-07-27T04:00,20.1,20.1
2025-07-27T05:00,19.8,19.8
2025-07-27T06:00,19.9,19.9
2025-07-27T07:00,20.9,20.9
2025-07-27T08:00,22.3,22.3
2025-07-27T09:00,23.3,23.3
2025-07-27T10:00,23.4,23.4
2025-07-27T11:00,23.0,23.0
2025-07-27T12:00,22.8,22.8
2025-07-27T13:00,22.9,22.9
2025-07-27T14:00,23.2,23.2
2025-07-27T15:00,23.5,23.5
2025-07-27T16:00,24.1,24.1
2025-07-27T17:00,24.8,24.8
2025-07-27T18:00,25.0,25.0
2025-07-27T19:00,24.3,24.3
2025-07-27T20:00,23.0,23.0
2025-07-27T21:00,22.0,22.0
2025-07-27T22:00,21.4,21.4
2025-07-27T23:00,21.1,21.1
2025-07-28T00:00,20.7,20.7
2025-07-28T01:00,20.3,20.3
2025-07-28T02:00,19.9,19.9
2025-07-28T03:00,19.6,19.6
2025-07-28T04:00,19.4,19.4
2025-07-28T05:00,19.4,19.4
2025-07-28T06:00,19.6,19.6
2025-07-28T07:00,20.2,20.2
2025-07-28T08:00,21.1,21.1
2025-07-28T09:00,21.9,21.9
2025-07-28T10:00,22.4,22.4
2025-07-28T11:00,22.8,22.8
2025-07-28T12:00,23.1,23.1
2025-07-28T13:00,23.3,23.3
2025-07-28T14:00,23.5,23.5
2025-07-28T15:00,23.8,23.8
2025-07-28T16:00,24.4,24.4
2025-07-28T17:00,25.1,25.1
2025-07-28T18:00,25.3,25.3
2025-07-28T19:00,24.7,24.7
2025-07-28T20:00,23.6,23.6
2025-07-28T21:00,22.6,22.6
2025-07-28T22:00,21.8,21.8
2025-07-28T23:00,21.2,21.2
